Category,Indicator name,Description,Definition (US),Definition (global),US item,Global item,US indicator start,US indicator end,Global indicator start,Global indicator end
Vaccines,barrier_reason_other,"Percentage of respondents who list ""other"" as a reason they would not get the vaccine",V5a|V5b|V5c|V5d  == 'Other' / any response to V5a|V5b|V5c|V5d ,V5a|V5b|V5c|V5d  == 'Other' / any response to V5a|V5b|V5c|V5d ,V5a|V5b|V5c|V5d,V5a|V5b|V5c|V5d,2021-02-07,2022-06-25,2021-01-31,2022-06-25
Vaccines,"barrier_reason_distrust_gov [US]
barrier_reason_government [GLOBAL]",Percentage of respondents who list lack of trust for the government as a reason they would not get the vaccine,V5a|V5b|V5c|V5d  == 'I don't trust the government' / any response to V5a|V5b|V5c|V5d ,V5a|V5b|V5c|V5d  == 'I don't trust the government' / any response to V5a|V5b|V5c|V5d ,V5a|V5b|V5c|V5d,V5a|V5b|V5c|V5d,2021-02-07,2022-06-25,2021-02-28,2022-06-25
Vaccines,barrier_reason_allergic,Percentage of respondents who list concern about an allergic reaction as a reason they would not get the vaccine,V5a|V5b|V5c|V5d  == 'I am concerned about having an allergic reaction' / any response to V5a|V5b|V5c|V5d ,NA,V5a|V5b|V5c|V5d,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,barrier_reason_not_recommended,Percentage of respondents who list that their doctor has not recommended it as a reason they would not get the vaccine,V5a|V5b|V5c|V5d  == 'My doctor has not recommended it' / any response to V5a|V5b|V5c|V5d ,NA,V5a|V5b|V5c|V5d,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,barrier_reason_distrust_vaccine,Percentage of respondents who list that they don't trust COVID-19 vaccines as a reason they would not get the vaccine,V5a|V5b|V5c|V5d  == 'I don't trust COVID-19 vaccines' / any response to V5a|V5b|V5c|V5d ,NA,V5a|V5b|V5c|V5d,NA,2021-02-07,2022-06-25,NA,NA
Vaccines,barrier_reason_health,Percentage of respondents who list that they have a health condition and am concerned about the safety of the vaccine for people with their condition as the reason they would not get the vaccine,V5a|V5b|V5c|V5d  == 'I have a health condition and am concerned about the safety of the vaccine for people with my condition' / any response to V5a|V5b|V5c|V5d ,NA,V5a|V5b|V5c|V5d,NA,2021-02-07,2021-08-07,NA,NA
Vaccines,barrier_reason_pregnant,Percentage of respondents who list that they are currently/planning to be pregnant and/or breastfeeding and do not want to get vaccinated at this time as the reason they would not get the vaccine,V5a|V5b|V5c|V5d  == 'I am currently/planning to be pregnant and/or breastfeeding and do not want to get vaccinated at this time' / any response to V5a|V5b|V5c|V5d ,NA,V5a|V5b|V5c|V5d,NA,2021-02-07,2021-08-07,NA,NA
Testing,"reason_not_tested_tried [US]
notest_not_able [GLOBAL]","Percentage of respondents that report inability to get test as a reason they were not tested in last 14 days, among those that indicated they would have liked to be tested",B12a == 'I tried to get a test but was not able to get one' / any response to B12a,B12_1 == 'yes' / any response to B12,B12a,B12_1,2020-09-06,2021-08-07,2020-06-21,2021-12-25
Testing,"reason_not_tested_location [US]
notest_where [GLOBAL]","Percentage of respondents that report not knowing where to get test as a reason they were not tested in the last 14 days, among those that indicated they would have liked to be tested",B12a == 'I don't know where to go' / any response to B12a,B12_2 == 'yes' / any response to B12,B12a,B12_2,2020-09-06,2021-08-07,2020-06-21,2021-12-25
Testing,"reason_not_tested_cost [US]
notest_cant_afford [GLOBAL]","Percentage of respondents that report inability to pay for the test as a reason they were not tested in the last 14 days, among those that indicated they would have liked to be tested",B12a == 'I can't afford the cost of the test' / any response to B12a,B12_3 == 'yes' / any response to B12,B12a,B12_3,2020-09-06,2021-08-07,2020-06-21,2021-12-25
Testing,"reason_not_tested_time [US]
notest_no_time [GLOBAL]","Percentage of respondents that report lack of time as a reason they were not tested in the last 14 days, among those that indicated they would have liked to be tested",B12a == 'I don't have time to get tested' / any response to B12a,B12_4 == 'yes' / any response to B12,B12a,B12_4,2020-09-06,2021-08-07,2020-06-21,2021-12-25
Testing,"reason_not_tested_travel [US]
notest_travel [GLOBAL]","Percentage of respondents that reported inability to travel to testing location as a reason they were not tested in the last 14 days, among those that indicated they would have liked to be tested",B12a == 'I am unable to travel to a testing location' / any response to B12a,B12_5 == 'yes' / any response to B12,B12a,B12_5,2020-09-06,2021-08-07,2020-06-21,2021-12-25
Testing,"reason_not_tested_stigma [US]
notest_worry [GLOBAL]","Percentage of respondents that report worry about bad things happening to their family/friends as a reason they were not tested in the last 14 days, among those that indicated they would have liked to be tested",B12a == 'I am worried about bad things happening to me or my family' / any response to B12a,B12_6 == 'yes' / any response to B12,B12a,B12_6,2020-09-06,2021-08-07,2020-06-21,2021-12-25
Testing,reason_not_tested_appointment,"Percentage of respondents that report waiting for an appointment as a reason they were not tested in the last 14 days, among those that indicated they would have liked to be tested",B12a == 'I am waiting for an appointment to be tested' / any response to B12a,NA,B12a,NA,2020-09-06,2021-08-07,NA,NA
Testing,reason_not_tested_none,"Percentage of respondents that report no listed reasons for why they were not tested in the last 14 days, among those that indicated they would have liked to be tested",B12a == 'None of the above' / any response to B12a,NA,B12a,NA,2020-09-06,2021-08-07,NA,NA
Heathcare,nohealth_EMS,Percentage of respondents that report in the last 30 days they needed emergency transportation services or emergency rescue and was unable to get it,NA,B13_1 == 'yes' / any response to B13,NA,B13_1,NA,NA,2020-06-21,2021-09-04
Heathcare,nohealth_overnight,Percentage of respondents that report in the last 30 days that they needed medical care with an overnight stay in a facility and was unable to get it,NA,B13_2 == 'yes' / any response to B13,NA,B13_2,NA,NA,2020-06-21,2021-09-04
Heathcare,nohealth_care_no_overnight,Percentage of respondents that report in the last 30 days that they needed medical/dental care or treatment without an overnight stay and was unable to get it,NA,B13_3 == 'yes' / any response to B13,NA,B13_3,NA,NA,2020-06-21,2021-09-04
Heathcare,nohealth_preventative,Percentage of respondents that report in the last 30 days that they needed preventative health services and was unable to get it,NA,B13_4 == 'yes' / any response to B13,NA,B13_4,NA,NA,2020-06-21,2021-09-04
Heathcare,nohealth_medication,Percentage of respondents that report in the last 30 days that they needed medication and were unable to get them,NA,B13_5 == 'yes' / any response to B13,NA,B13_5,NA,NA,2020-06-21,2021-09-04
Heathcare,nohealth_protective,Percentage of respondents that report in the last 30 days that they needed protective health supplies and were unable to get them,NA,B13_6 == 'yes' / any response to B13,NA,B13_6,NA,NA,2020-06-21,2021-09-04
Heathcare,nohealth_equipment,"Percentage of respondents that report in the last 30 days that they needed medical equipment (eyeglasses, hearing aid, crutches, etc.) and were unable to get it",NA,B13_7 == 'yes' / any response to B13,NA,B13_7,NA,NA,2020-06-21,2021-09-04
Healthcare,reason_nohealth_where,"Percentage of respondents that report that they were unable to get medical treatment, services or products in the last 30 days because they did not know where to go",NA,B14_1 == 'yes' / any response to B14,NA,B14_1,NA,NA,2020-06-21,2021-09-04
Healthcare,reason_nohealth_afford,"Percentage of respondents that report that they were unable to get medical treatment, services or products in the last 30 days because they could not afford them",NA,B14_2 == 'yes' / any response to B14,NA,B14_2,NA,NA,2020-06-21,2021-09-04
Healthcare,reason_nohealth_travel,"Percentage of respondents that report that they were unable to get medical treatment, services or products in the last 30 days because they were unable to travel to the location",NA,B14_3 == 'yes' / any response to B14,NA,B14_3,NA,NA,2020-06-21,2021-09-04
Healthcare,reason_nohealth_infection,"Percentage of respondents that report that they were unable to get medical treatment, services or products in the last 30 days because they were afraid they might be infected at the location",NA,B14_4 == 'yes' / any response to B14,NA,B14_4,NA,NA,2020-06-21,2021-09-04
Healthcare,reason_nohealth_not_available,"Percentage of respondents that report that they were unable to get medical treatment, services or products in the last 30 days because they were not available",NA,B14_5 == 'yes' / any response to B14,NA,B14_5,NA,NA,2020-06-21,2021-09-04
Behavior,work_outside_home_1d,Percentage of respondents who reported working outside their home in the past 24 hours.,C13 == 'Gone to work or school outside the place where you are currently staying' / any response to C13,(C0_1 == 'Yes' | C0a == 'gone to work outside the place where you are currently staying') / any response to C0|C0a,C13,C0|C0a,2020-09-06,2021-03-13,2020-04-26,2022-06-25
Behavior,work_outside_home_indoors_1d,Percentage of respondents who reported working outside their home at an indoor location in the past 24 hours.,"C13b == 'Gone to work or school indoors, outside the place where you are currently staying' / any response to C13b",NA,C13b,NA,2021-02-28,2022-06-25,NA,NA
Behavior,shop_1d,"Percentage of respondents who reported going to a market, grocery store, or pharmacy in the past 24 hours.","C13 == 'Gone to a market, grocery store, or pharmacy' / any response to C13","(C0_2 == 'Yes' | C0a == 'went to a market, grocery store, or pharmacy')/ any response to C0|C0a",C13|C13b,C0|C0a,2020-09-06,2021-03-13,2020-04-26,2022-06-25
Behavior,shop_indoors_1d,"Percentage of respondents who reported going to an indoors market, grocery store, or pharmacy in the past 24 hours.","C13b == 'Gone to an indoor market, grocery store, or pharmacy' / any response to C13b",NA,C13b,NA,2021-02-28,2022-06-25,NA,NA
Behavior,restaurant_1d,"Percentage of respondents who reported going to a shopping center, restaurant, or cafe in the past 24 hours.",NA,C0_3 == 'Yes' / any response to C0,,C0,NA,NA,2020-04-26,2021-09-04
Behavior,"restaurant_1d [US]
restaurant_bar_1d [GLOBAL]","Percentage of respondents who reported going to a bar, restaurant, or cafe in the past 24 hours.","C13 == 'Had a drink or a meal at a bar, restaurant, or cafe' / any response to C13","C0a == 'gone to a restaurant, bar, or cafe' / any response to C0a",C13,C0a,2020-09-06,2021-03-13,2021-05-16,2022-06-25
Behavior,restaurant_indoors_1d,"Percentage of respondents who reported going to an indoors shopping center, restaurant, or cafe in the past 24 hours.","C13b == 'Had a drink or meal indoors at a bar, restaurant or cafe' / any response to C13b",NA,C13b,NA,2021-02-28,2022-06-25,NA,NA
Behavior,spent_time_1d,Percentage of respondents who reported spending time with someone who isn’t currently staying with them in the past 24 hours.,C13 == 'Spent time with someone who isn't currently staying with you' / any response to C13,(C0_4 == 'Yes' | C0a == 'spent time with someone not currently staying with me') / # any response to C0|C0a,C13,C0|C0a,2020-09-06,2021-03-13,2020-04-26,2022-06-25
Behavior,spent_time_indoors_1d,Percentage of respondents who reported spending time indoors with someone who isn’t currently staying with them in the past 24 hours.,C13b == 'Spent time indoors with someone who isn't currently staying with you' / any response to C13b,NA,C13b,NA,2021-02-28,2022-06-25,NA,NA
Behavior,large_event_1d,Percentage of respondents who reported attending an event with more than 10 people in the past 24 hours.,C13 == 'Attended an event with more than 10 people' / any response to C13,(C0_5 == 'Yes' | C0a == 'attended an event with more than 10 people') / any response to C0|C0a,C13,C0|C0a,2020-09-06,2021-03-13,2020-04-26,2022-06-25
Behavior,large_event_indoors_1d,Percentage of respondents who reported attending an indoorevent with more than 10 people in the past 24 hours.,C13b == 'Attended an indoor event with more than 10 people' / any response to C13b,NA,C13b,NA,2021-02-28,2022-06-25,NA,NA
Behavior,public_transit_1d,Percentage of respondents who reported using public transit in the past 24 hours.,C13 == 'Used public transit' / any response to C13,(C0_6 == 'Yes' | C0a == 'used public transit') / any response to C0|C0a,C13|C13b,C0|C0a,2020-09-06,2022-06-25,2020-04-26,2022-06-25
Behavior,mask_work_outside_home_1d,"Of those respondents that reported working outside their home in the past 24 hours, the percentage that reported wearing a mask during the activity.",C13a == 'Gone to work or school outside the place where you are currently staying' / C13 == 'Gone to work or school outside the place where you are currently staying',"(C13_1 == 'Yes' | C13a == 'gone to work outside the place where you are currently staying') / (C0_1 == 'yes' | C0a == 'gone to work or school indoors, outside the place where you are currently staying')","C13, C13a","C0|C0a, C13|C13a",2020-09-06,2021-03-13,2020-11-22,2022-06-25
Behavior,mask_work_outside_home_indoors_1d,"Of those respondents that reported working outside their home at an indoors location in the past 24 hours, the percentage that reported wearing a mask during the activity.","C13c == 'Gone to work or school indoors, outside the place where you are currently staying' / C13b == 'Gone to work or school indoors, outside the place where you are currently staying'",NA,"C13b, C13c",NA,2021-02-28,2022-06-25,NA,NA
Behavior,mask_shop_1d,"Of those respondents that reported going to a market, grocery store, or pharmacy in the past 24 hours, the percentage that reported wearing a mask during the activity.","C13a == 'Gone to a market, grocery store, or pharmacy' / C13 == 'Gone to a market, grocery store, or pharmacy'","(C13_2 == 'Yes' | C13a == 'went to a market, grocery store, or pharmacy')/ (C0_2 == 'yes' | C0a == 'gone to an indoor market, grocery store, or pharmacy')","C13, C13a","C0|C0a, C13|C13a",2020-09-06,2021-03-13,2020-11-22,2022-06-25
Behavior,mask_shop_indoors_1d,"Of those respondents that reported going to an indoor market, grocery store, or pharmacy in the past 24 hours, the percentage that reported wearing a mask during the activity.","C13c == 'Gone to an indoor market, grocery store, or pharmacy' / C13c == 'gone to an indoor market, grocery store, or pharmacy'",NA,"C13b, C13c",NA,2021-02-28,2022-06-25,NA,NA
Behavior,mask_restaurant_1d,"Of those respondents that reported going to a bar, restaurant, or cafe in the past 24 hours, the percentage that reported wearing a mask during the activity.","C13a == 'Had a drink or a meal at a bar, restaurant, or cafe' / C13 == 'had a drink or a meal at a bar, restuarant, or cafe'","(C13_3 == 'Yes' | C13a == 'gone to a restuarant, bar, or cafe') / (C0_3 == 'yes' | C0a == 'had a drink or a meal indoors at a bar, restaurant, or cafe')","C13, C13a","C0|C0a, C13|C13a",2020-09-06,2021-03-13,2020-11-22,2022-06-25
Behavior,mask_restaurant_indoors_1d,"Of those respondents that reported going to an indoor bar, restaurant, or cafe in the past 24 hours, the percentage that reported wearing a mask during the activity.","C13c == 'Had a drink or a meal indoors at a bar, restaurant, or cafe' / C13b == 'had a drink or a meal indoors at a bar, restuarant, or cafe'",NA,"C13b, C13c",NA,2021-02-28,2022-06-25,NA,NA
Behavior,mask_spent_time_1d,"Of those respondents that reported spending time with someone who isn't currently staying with them in the past 24 hours, the percentage that reported wearing a mask during the activity.",C13a == 'Spent time with someone who isn't currently staying with you' / C13 == 'Spent time with someone who isn't currently staying with you',(C13_4 == 'Yes' | C13a == 'spent time with someone not currently staying with me') / (C0_4 == 'yes' | C0a == 'spent time indoors with someone who isn't currently staying with you'),"C13, C13a","C0|C0a, C13|C13a",2020-09-06,2021-03-13,2020-11-22,2022-06-25
Behavior,mask_spent_time_indoors_1d,"Of those respondents that reported spending time indoors with someone who isn't currently staying with them in the past 24 hours, the percentage that reported wearing a mask during the activity.",C13c == 'Spent time indoors with someone who isn't currently staying with you' / C13b == 'Spent time indoors with someone who isn't currently staying with you',NA,"C13b, C13c",NA,2021-02-28,2022-06-25,NA,NA
Behavior,mask_large_event_1d,"Of those respondents that reported attending an event with more than 10 people in the past 24 hours, the percentage that reported wearing a mask during the activity.",C13a == 'Attended an event with more than 10 people' / C13 == 'Attended an event with more than 10 people',(C13_5 == 'Yes' | C13a == 'attended an event with more than 10 people') / (C0_5 == 'yes' | C0a == 'attended an indoor event with more than 10 people'),"C13, C13a","C0|C0a, C13|C13a",2020-09-06,2021-03-13,2020-11-22,2022-06-25
Behavior,mask_large_event_indoors_1d,"Of those respondents that reported attending an indor event with more than 10 people in the past 24 hours, the percentage that reported wearing a mask during the activity.",C13c == 'Attended an indoor event with more than 10 people' / C13b == 'attended an indoor event with more than 10 people',NA,"C13b, C13c",NA,2021-02-28,2022-06-25,NA,NA
Behavior,mask_public_transit_1d,"Of those respondents that reported using public transit in the past 24 hours, the percentage that reported wearing a mask during the activity.",C13a == 'Used public transit' / C13 == 'used public transit',(C13_6 == 'Yes' | C13a == 'used public transit') / (C0_6 == 'yes' | C0a == 'used public transit'),"C13, C13a","C0|C0a, C13|C13a",2021-02-28,2022-06-25,2020-11-22,2022-06-25
Behavior,contact,Percentage of respondents reporting that they had direct contact with a person that they were not staying with in the last 24 hours,NA,C1_m == 'yes' / any response to C1_m,NA,C1_m,NA,NA,2020-04-26,2021-09-04
Behavior,contact_people_1_to_4,"Of those respondents that reported having direct contact with a person not staying with them in the last 24 hours, the percentage that had contact with 1 - 4 people",NA,C2 == '1-4 people' / any response to C2,NA,C2,NA,NA,2020-04-26,2021-09-04
Behavior,contact_people_5_to_9,"Of those respondents that reported having direct contact with a person not staying with them in the last 24 hours, the percentage that had contact with 5 - 9 people",NA,C2 == '5-9 people' / any response to C2,NA,C2,NA,NA,2020-04-26,2021-09-04
Behavior,contact_people_10_to_19,"Of those respondents that reported having direct contact with a person not staying with them in the last 24 hours, the percentage that had contact with 10 - 19 people",NA,C2 == '10-19 people' / any response to C2,NA,C2,NA,NA,2020-04-26,2021-09-04
Behavior,contact_people_20_more,"Of those respondents that reported having direct contact with a person not staying with them in the last 24 hours, the percentage that had contact with 20 or more people",NA,C2 == '20 or more people' / any response to C2,NA,C2,NA,NA,2020-04-26,2021-09-04
Behavior,access_wash,Percentage of espondents with access to soap and water for washing their hands.,NA,C8 == 'Yes' / any response to C8,NA,C8,NA,NA,2020-06-21,2021-09-04
Behavior,wash_hands_24h_0times,Percentage of respondents who washed their hands 0 times in the last 24 hours,NA,C7 == '0 times' / any response to C7,NA,C7,NA,NA,2020-06-21,2021-09-04
Behavior,wash_hands_24h_1to2,Percentage of respondents who washed their hands 1 to 2 times in the last 24 hours.        ,NA,C7 == '1-2 times' / any response to C7,NA,C7,NA,NA,2020-06-21,2021-09-04
Behavior,wash_hands_24h_3to6,Percentage of respondents who washed their hands 3 to 6 times in the last 24 hours.        ,NA,C7 == '3-6 times' / any response to C7,NA,C7,NA,NA,2020-06-21,2021-09-04
Behavior,wash_hands_24h_7orMore,Percentage of respondents who washed their hands 7+ times in the last 24 hours.        ,NA,C7 == '7 or more times' / any response to C7,NA,C7,NA,NA,2020-06-21,2021-09-04
Behavior,spent_time_health_clinic,Percentage of respondents who reported spending time in a health clinic or hospital in the last 7 days,NA,C3 == 'yes' / any response to C3,NA,C3,NA,NA,2020-04-26,2021-09-04
Behavior,spendtime_0_days,Percentage of respondents indicating that they spent time on 0 days in the last week with individuals that aren't staying with them,NA,C6 == '0 days' / any response to C6,NA,C6,NA,NA,2020-04-26,2021-09-04
Behavior,spendtime_1_days,Percentage of respondents indicating that they spent time on 1 day in the last week with individuals that aren't staying with them,NA,C6 == '1 day' / any response to C6,NA,C6,NA,NA,2020-04-26,2021-09-04
Behavior,spendtime_2to4_days,Percentage of respondents indicating that they spent time on 2 to 4 days in the last week with individuals that aren't staying with them,NA,C6 == '2 to 4 days' / any response to C6,NA,C6,NA,NA,2020-04-26,2021-09-04
Behavior,spendtime_5to7_days,Percentage of respondents indicating that they spent time on 4 to 7 days in the last week with individuals that aren't staying with them,NA,C6 == '4 to 7 days' / any response to C6,NA,C6,NA,NA,2020-04-26,2021-09-04
Vaccines,flu_shot_1y,Percentage of respondents who have received a flu vaccination in 12 months,C2 == 'yes' / responses to C2,NA,C2,NA,2020-04-05,2020-09-12,NA,NA
Vaccines,flu_vaccine_have,Percentage of respondents who have received a flu vaccination since June 2020,NA,C9|C9a == 'yes' / any response to C9|C9a,NA,C9/C9a,NA,NA,2020-11-22,2021-09-04
Vaccines,flu_vaccine_plan,Percentage of respondents who have not yet received a flu vaccine who plan to receive a flu vaccination by the end of January 2021,NA,C10 == 'yes' / any response to C10,NA,C10,NA,NA,2020-11-22,2021-02-27
Vaccines,flu_vaccine_cost,Percentage of respondents who will not or will probably not get a flu vaccine because of cost,NA,C11_no_1 | C11_unsure_1 == 'yes' / any response to C11_no_1|C11_unsure_1,NA,C11_no_1|C11_unsure_1,NA,NA,2020-11-22,2021-02-06
Vaccines,flu_vaccine_inconvenience,Percentage of respondents who will not or will probably not get a flu vaccine because of inconvenience,NA,C11_no_2 | C11_unsure_2 == 'yes' / any response to C11_no_2|C11_unsure_2,NA,C11_no_2|C11_unsure_2,NA,NA,2020-11-22,2021-02-06
Vaccines,flu_vaccine_where,Percentage of respondents who will not or will probably not get a flu vaccine because of unsure where to get vaccine,NA,C11_no_3 | C11_unsure_3 == 'yes' / any response to C11_no_3|C11_unsure_3,NA,C11_no_3|C11_unsure_3,NA,NA,2020-11-22,2021-02-06
Vaccines,flu_vaccine_not_important,Percentage of respondents who will not or will probably not get a flu vaccine because of they don't think that getting the flu vaccine is important,NA,C11_no_4 | C11_unsure_4 == 'yes' / any response to C11_no_4|C11_unsure_4,NA,C11_no_4|C11_unsure_4,NA,NA,2020-11-22,2021-02-06
Vaccines,flu_vaccine_unsure,Percentage of respondents who will not or will probably not get a flu vaccine but they are unsure why,NA,C11_no_5 | C11_unsure_5 == 'yes' / any response to C11_no_5|C11_unsure_5,NA,C11_no_5|C11_unsure_5,NA,NA,2020-11-22,2021-02-06
Vaccines,flu_vaccine_never,Percentage of respondents who will not or will probably not get a flu vaccine because they never get a flu vaccine,NA,C11_no_6 | C11_unsure_6 == 'yes' / any response to C11_no_6|C11_unsure_6,NA,C11_no_6|C11_unsure_6,NA,NA,2020-11-22,2021-02-06
Vaccines,flu_vaccine_other,Percentage of respondents who will not or will probably not get a flu vaccine because of another reason,NA,C11_no_7 | C11_unsure_7 == 'yes' / any response to C11_no_7|C11_unsure_7,NA,C11_no_7|C11_unsure_7,NA,NA,2020-11-22,2021-02-06
Vaccines,flu_vaccine_2019,"Percentage of respondents who have received a flu vaccine between June 2019 and February 2020, out of those that have not gotten one since June 2020.",NA,C12 == 'yes' / any response to C12,NA,C12,NA,NA,2020-11-22,2021-09-04
Vaccines,flu_vaccine_june_2020,Percentage of respondents who have gotten a seasonal flu vaccination since June 2020.,(C17 == ‘Yes’) / (any response to C17),NA,C17,NA,2020-11-22,2021-02-20,NA,NA
Vaccines,flu_vaccine_july_2020,Percentage of respondents who have gotten a seasonal flu vaccination since July 2020.,(C17a == ‘Yes’) / (any response to C17a),NA,C17a,NA,2021-02-07,2021-08-07,NA,NA
Mental Health,anxious_7d,"Percentage of respondents who reported feeling “nervous, anxious, or on edge” for most or all of the past 7 days.",(C8_1|C18a == 'All of the time' | C8_1|C18a == 'Most of the time') / any response to C8_1|C18a,(D1 == 'All of the time' | D1 == 'Most of the time') / any response to D1,C8_1|C18a,D1,2021-02-28,2022-06-25,2020-04-26,2022-06-25
Mental Health,anxious_5d,"Percentage of respondents who reported feeling “nervous, anxious, or on edge” for most or all of the past 5 days.",(C8_1 == 'All of the time' | C8_1 == 'Most of the time') / any response to C8_1,NA,C8_1,NA,2020-09-06,2021-03-13,NA,NA
Mental Health,depressed_7d,Percentage of respondents who reported feeling depressed for most or all of the past 7 days        ,(C8_2|C18b == 'All of the time' | C8_2|C18b == 'Most of the time') / any response to C8_2|C18b,(D2 == 'All of the time' | D2 == 'Most of the time') / any response to D2,C8_2|C18b,D2,2021-02-28,2022-06-25,2020-04-26,2022-06-25
Mental Health,depressed_5d,Percentage of respondents who reported feeling depressed for most or all of the past 5 days        ,(C8_2 == 'All of the time' | C8_2 == 'Most of the time') / any response to C8_2,NA,C8_2,NA,2020-09-06,2021-03-13,NA,NA
Mental Health,worried_become_ill,Percentage of respondents who reported feeling very or somewhat worried that “you or someone in your immediate family might become seriously ill from COVID-19”        ,(C9 == 'very worried' | C9 == 'somewhat worried') / any response to C9,(D3 == 'very worried' | D3 == 'somewhat worried') / any response to D3,C9,D3,2020-09-06,2021-08-07,2020-04-26,2021-09-04
Economy,food_security,Percentage of respondents who are very worried or somewhat worried about having enough to eat in the next week.,NA,(D4 == 'very worried' | D4 == 'somewhat worried') / any response to D4,NA,D4,NA,NA,2020-04-26,2022-06-25
Economy,finance,Percentage of respondents who report being very or somewhat worried about their “household’s finances for the next month”        ,(C15 == 'very worried' | C15 == 'somewhat worried') / any response to C15,(D5 == 'very worried' | D5 == 'somewhat worried') / any response to D5,C15,D5,2020-09-06,2022-06-25,2020-04-26,2022-06-25
Economy,finance_worry_income_loss,Percentage of respondents who report their financial worry is due to loss of income among those respondents that report being very or somewhat worried about their household's finances in the next month,NA,D6_1 == 'yes' / any response to D6,NA,D6_1,NA,NA,2020-09-13,2021-09-04
Economy,finance_worry_health_covid,Percentage of respondents who report their financial worry is due to healthcare costs related to COVID-19 among those respondents that report being very or somewhat worried about their household's finances in the next month,NA,D6_2 == 'yes' / any response to D6,NA,D6_2,NA,NA,2020-09-13,2021-09-04
Economy,finance_worry_health_notcovid,Percentage of respondents who report their financial worry is due to healthcare costs NOT related to COVID-19 among those respondents that report being very or somewhat worried about their household's finances in the next month,NA,D6_3 == 'yes' / any response to D6,NA,D6_3,NA,NA,2020-09-13,2021-09-04
Economy,work_for_pay_7d,Percentage of respondents who reported working for pay in the last 7 days,NA,D7 == 'yes' / responses to D7,NA,D7,NA,NA,2020-06-21,2021-09-04
Economy,work_for_pay_previous,"Among those respondents who didn't work for pay in the last 7 days, the percentage that were employed prior to February 2020",NA,D8 == 'yes' / responses to D8,NA,D8,NA,NA,2020-06-21,2021-09-04
Symptoms,symptom_hospital,"Among those respondents reporting symptoms, the percentage that have been to the hospital for treatment",B6 == 'yes' / any response to B6,NA,B6,NA,2020-04-05,2020-09-12,NA,NA
Symptoms,symptom_hospital_tried,"Among those respondents reporting symptoms, the percentage that tried to go to the hospital but were unable","B6 == 'I have tried, but been unable to receive care' / any response to B6",NA,B6,NA,2020-04-05,2020-09-12,NA,NA
Symptoms,unusual_symptom_medical_care_called_doctor,"Among those respondents reporting unusual symptoms, the percentage that sought medical care by calling their doctor's office for advice",B7 == 'I called my doctor's office for advice' / any response to B7,NA,B7,NA,2020-09-06,2021-03-13,NA,NA
Symptoms,unusual_symptom_medical_care_telemedicine,"Among those respondents reporting unusual symptoms, the percentage that sought medical care by telemedicine visit with their doctor",B7 == 'I had a telemedicine visit with my doctor' / any response to B7,NA,B7,NA,2020-09-06,2021-03-13,NA,NA
Symptoms,unusual_symptom_medical_care_visited_doctor,"Among those respondents reporting unusual symptoms, the percentage that sought medical care by visiting a doctor's office or making an appointment","B7 == 'I visited a doctor's office, or made an appointment' / any response to B7",NA,B7,NA,2020-09-06,2021-03-13,NA,NA
Symptoms,unusual_symptom_medical_care_urgent_care,"Among those respondents reporting unusual symptoms, the percentage that sought medical care by visiting an urgent care clinic",B7 == 'I visited an urgent care clinic' / any response to B7,NA,B7,NA,2020-09-06,2021-03-13,NA,NA
Symptoms,unusual_symptom_medical_care_er,"Among those respondents reporting unusual symptoms, the percentage that sought medical care by visiting an emergency room",B7 == 'I went to the emergency room' / any response to B7,NA,B7,NA,2020-09-06,2021-03-13,NA,NA
Symptoms,unusual_symptom_medical_care_hospital,"Among those respondents reporting unusual symptoms, the percentage that sought medical care and were admitted to the hospital",B7 == 'I was admitted to a hospital' / any response to B7,NA,B7,NA,2020-09-06,2021-03-13,NA,NA
Symptoms,unusual_symptom_medical_care_tried,"Among those respondents reporting unusual symptoms, the percentage that tried to seek medical care but were unable to receive care","B7 == 'I tried, but have been unable to receive care' / any response to B7",NA,B7,NA,2020-09-06,2021-03-13,NA,NA
Symptoms,unusual_symptom_medical_care_none,"Among those respondents reporting unusual symptoms, the percentage that sought medical care by ""none of the above""",B7 == 'none of the above' / any response to B7,NA,B7,NA,2020-09-06,2021-03-13,NA,NA
Testing,ever_tested_positive,Percentage of respondents who report having ever tested positive for COVID-19.,B11 == 'yes' / any response to B11,NA,B11,NA,2020-09-06,2021-08-07,NA,NA
Behavior,work_outside_home_5d,Percentage of respondents who reported working outside their home in the past 5 days,C3 == 'yes' / any response to C3,NA,C3,NA,2020-04-05,2020-09-12,NA,NA
Behavior,work_healthcare_5d,"Percentage of respondents who reported working or volunteering in a hospital, medical office, ambulance service, first responder services, or any other health care setting in the past 5 days",C4 == 'yes' / any response to C4,NA,C4,NA,2020-04-05,2020-09-12,NA,NA
Behavior,work_nursing_home_5d,Percentage of respondents who reported working at or visiting a long term care facility or nursing home in the past 5 days.,C5 == 'yes' / any response to C5,NA,C5,NA,2020-04-05,2020-09-12,NA,NA
Behavior,travel_outside_state_5d,Percentage of respondents who reported traveling outside their state in the past 5 days,C6 == 'yes' / any response to C6,NA,C6,NA,2020-04-05,2021-03-13,NA,NA
